id,edad,genero,estado_civil,residencia,nivel_educativo,grado_estudios,ocupacion,paga_estudios,acceso_internet,banos,autos,computadoras,telefonos,servicios,nivel_educativo_hogar,personas_en_hogar,personas_en_hogar_trabajan,ingreso_mensual_hogar,personas_dependientes,nivel_socioeconomico,tiempo_libre_dia,frecuencia_ejercicio,frecuencia_leer,frecuencia_videojuegos,frecuencia_peliculas,frecuencia_conciertos,frecuencia_bares,frecuencia_escuchar_musica,lugares_visitados_tiempo_libre,consumo_videojuegos,razon_videojuegos,videojuegos_que_consume,frecuencia_videojuego_role,frecuencia_videojuego_accion,frecuencia_videojuego_aventura,frecuencia_videojuego_arcade,frecuencia_videojuego_deportivo,frecuencia_videojuego_estrategia,frecuencia_videojuego_simulacion,frecuencia_videojuego_juegomesa,frecuencia_videojuego_juegomusical,medio_consumo_videojuegos,consumo_simultaneo_musica_videojuego,tipo_musica_simultaneo_videojuegos,frecuencia_consumo_musica,actividades_simultaneas_consumo_musica,generos_musicales_favoritos,artistas_consumo_mayor_frecuencia,razon_consumo_artistas,donde_consumo_musica,importancia_musica_diaria,plataformas_streaming_consumo_musica,frecuencia_consumo_musica_listas_personalizadas,frecuencia_consumo_musica_listas_plataformas,frecuencia_consumo_musica_playlist_populares,frecuencia_consumo_musica_algoritmo_descubrimiento,como_descubre_musica_nueva,otra_manera_descubrimiento_musica,frecuencia_consumo_videos_musicales,razon_valoracion_cancion,razon_valoracion_video_musical,frecuencia_consumo_instagram,frecuencia_consumo_tiktok,frecuencia_consumo_twitter,frecuencia_consumo_youtube,frecuencia_consumo_facebook,importancia_seguimiento_tendencias_musicales,redes_sociales_utilizadas_novedades_musicales,creadores_contenido_frecuencia,creadores_contenido_no_le_gustan,es_fan,de_que_es_fanatico,razon_fanatico,tiempo_fanatico,consideracion_fanatico_artista,que_artista_banda_fanatico,razon_fan_artista,motivos_fan_artista,tiempo_fan_artista,frecuencia_participacion_comunidad_blog_web_fans,frecuencia_participacion_comunidad_discord,frecuencia_participacion_comunidad_grupos_facebook,frecuencia_participacion_comunidad_telegram,frecuencia_participacion_comunidad_instagram,frecuencia_participacion_eventos_en_vivo,frecuencia_participacion_comunidad_fanfiction,frecuencia_participacion_youtube,frecuencia_participacion_twitch,redes_sociales_artistas_favoritos,importancia_artista_redes,factores_seguir_artista_redes,factores_dejar_seguir_artista_redes,compra_productos_promocion_redes,asistencia_eventos_artista_promocion,dinamica_agradaria_artista_favorito,frecuencia_compra_boletos_conciertos,frecuencia_compra_disco_viniles,frecuencia_compra_playeras_artistas,frecuencia_compra_sudaderas_artistas,frecuencia_compra_gorras_artistas,frecuencia_compra_pulsera_accesorios_artistas,frecuencia_compra_cobijas_artistas,frecuencia_compra_peluches_artistas,frecuencia_compra_figuras_coleccion_artistas,frecuencia_compra_tazas_vasos_artistas,frecuencia_compra_stickers_artistas,frecuencia_compra_posters_artistas,frecuencia_compra_bolsas_totes_artistas,frecuencia_compra_llaveros_pines_artistas,otro_producto_artista_fav,marcas_productos_hobbies
12,19,1,Soltero,"Nezahualcóyotl ","Licenciatura Incompleta","FES Aragón ","Solo estudio","Mi padre/madre o tutor",1,3,2,3,5,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Preparatoria Incompleta","5 o más personas","1-2 personas",3,"3-4 personas",1,1,0,0,0,2,0,2,3,"Shine discotec",0,"No me llama la atención ","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"No juega videojuegos ",2,"Quehacer y tareas","Salsa, Baladas, Duranguense","Jose jose, norteño banda, Alfredo Olivas","Porque me gustan","En casa, En la universidad, En reuniones o fiestas",3,"Spotify, Amazon Music",3,2,1,2,"Familia, Amigos, Redes sociales, Espacios públicos","En la calle",1,"Letra y ritmo","La producción ",3,3,1,1,3,2,"Instagram, TikTok, YouTube","No hay","No me se sus nombres ",0,"Sin fanatismo","No aplica",0,0,"Sin fanatismo",,"Sin motivos",0,0,0,0,0,0,0,0,0,0,,0,"No aplica","Sin motivos",0,0,"Sin dinamica",0,0,2,0,1,1,0,0,1,0,0,0,0,0,Ninguno,"Coca cola, doritos, little cesaers"
13,19,0,Soltero,"Atizapán de Zaragoza ","Carrera técnica incompleta",Unitec,"Solo estudio","Mi padre/madre o tutor",1,2,1,5,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Carrera técnica completa","3-4 personas","3-4 personas",2,"1-2 personas",2,1,2,1,3,3,1,0,3,"Plazas comerciales",1,"Son mi medio favorito audiovisual ","The legend of zelda: Breath of the wild
Fortnite
Mario Kart",2,2,3,2,0,2,1,3,2,"Nintendo, PC",1,"Casi cualquiera siempre y cuando coincida con la estetica del juego y no sea solo por meter",3,"De todo, caminar, escribir, comer, quehacer","Pop, Rock, Jazz","Enjambre, Tears for Fears, Cuarteto de nos","Me encantan sus estilos, calidad y letras","En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",3,"Spotify, YouTube Music",3,1,0,2,"Familia, Amigos, Redes sociales, Playlists o algoritmos de plataformas, Estaciones de radio, Colaboraciones con artistas que escucho, Espacios públicos","Mucha recomendación o edits",2,"Su letra y mensaje que quiera dar","Que tenga algo verdaderamente relacionada a la canción ",3,2,1,3,3,1,"Instagram, YouTube, Facebook","El último círculo, polikins, cmll","Ibai, Nimu, Dalas",1,"De Spider-man ","Por que es mi superhéroe favorito ",5,1,"Enjambre, Cuarteto de Nos, Boy Pablo","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma","Por sus letras y estilo diferente de hacer sentir una canción ",2,2,0,3,0,1,2,0,3,0,"Instagram, Facebook, Youtube",3,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades","Falta de constancia o malos trabajos que se alejen de sus trabajos originales de forma abrupta y forzada para encajar en los medios nuevos de musica",1,1,"Firma de autógrafos ",1,2,0,0,0,2,0,0,0,0,3,1,0,2,Oulseras,"Spotify, YouTube"
14,19,0,Soltero,"Nicolás Romero","Preparatoria Completa","Preparatoria anexa a la normal de Atizapán","Estudio y trabajo medio tiempo","Yo pago por mis estudios",1,2,0,4,5,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Preparatoria Completa","3-4 personas","1-2 personas",2,"3-4 personas",3,0,3,2,2,2,1,0,3,"El gimnasio y el campo de fútbol",1,"Me ayudas a desestresarme","Cuphead Clash royale hollow night",1,2,2,2,2,2,1,1,1,"X-box, Celular, PC",1,"Pop rock rap",3,Cualquiera,"Reggaeton, Reggae, Mariachi","Nsqk, nd kobi, cro.","Porque me gustan sus canciones y me identifico con una que otra","En casa, En la universidad, En el transporte público, Mientras hago ejercicio",3,"Spotify, YouTube Music, Amazon Music",2,2,2,2,"Redes sociales, Colaboraciones con artistas que escucho",Aleatoriamente,2,"Ritmo letra y sentimiento","Qué concuerde con la letra de la canción ",3,3,2,2,2,1,TikTok,"Islas vlogs, Alejandro Sago, westcol","Aaron Mercury, Pakoyaso, Doris Yoselin",1,Videojuegos,"Porque los juego",5,1,"Nd kobi, carin León, Pedro Infante","Me identifico con su música o sus letras, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Por qué me gustan sus canciones",5,1,1,1,1,1,1,1,1,1,"Instagram, Tik Tok",2,"Me gusta su música","Que cambié su estilo de música",0,0,"Conocer a sus fans",2,1,1,1,1,2,1,1,2,1,1,1,1,1,"Nada más","Puma Nike"
15,19,0,Soltero,Tlalpan,"Licenciatura Completa","Universidad Autónoma de México ","Estudio y trabajo medio tiempo","Yo pago por mis estudios",1,2,3,4,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Preparatoria Incompleta","5 o más personas","3-4 personas",5,"1-2 personas",3,0,2,2,2,2,2,2,3,"Mi casa",1,"Sin consumo",Warzone,0,2,0,1,2,1,0,0,0,X-box,1,"Regional mexicano ",3,"Todo ","Boleros, Corridos, Corridos tumbados","Luis Miguel, fuerza regida y peso pluma","Me gustan","En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",3,"Spotify, Apple Music, YouTube Music",3,2,1,1,"Amigos, Redes sociales, Tendencias","Amigos ",1,"El ritmo","La producción ",3,3,2,3,3,3,TikTok,"Adrián Marcelo ","No tengo ",1,Música,"Me motiva a estar de buen humor en el día ",5,1,"Fuerza regida, Luis Miguel, Peso pluma","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma","Lo que transmiten ",3,1,1,1,1,1,1,1,1,1,"Instagram, Tik Tok, Facebook, Youtube",3,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Contenido aburrido",1,1,"Evento privado ",3,2,3,3,0,2,0,0,0,0,0,0,0,0,"Discos ","Papas "
16,20,0,Soltero,Coyoacán,"Licenciatura Incompleta","UNAM FCA","Estudio y trabajo medio tiempo","Mi padre/madre o tutor",1,1,0,1,1,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)",Posgrado,"1-2 personas","1-2 personas",5,"5 o más personas",3,1,1,0,1,2,2,3,3,"Parques, bares, centros comerciales",1,"Me divierten","Minecraft, parchis, cod mobile",0,0,3,0,1,1,0,2,0,"Celular, PC",1,"Mi playlist habitual, pop en inglés y en español",1,"Aseo, ir de un lugar a otro","Pop, Rock, Reggaeton","Feid, Serbia y José madero","Me gustan sus ritmos y letras","En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",3,"Apple Music",3,1,0,2,"Familia, Amigos, Redes sociales, Playlists o algoritmos de plataformas, Tendencias, Colaboraciones con artistas que escucho, Shazam o Soundhound","No lo hago de más formas",1,"La buena letra y el ritmo","Armonía y coherencia ",3,3,1,3,2,1,"Instagram, TikTok, YouTube",,,1,Podcast,"Me gusta la compañía que brindan y lo divertidos que son algunos e interesantes",3,1,"Feid, Luis Miguel y Serbia","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Por qué al escuchar su música me transmiten emociones",3,0,0,1,0,0,0,0,2,2,Instagram,0,"Me gusta su música","Que se vuelva muy famoso y olvide su esencia o que lo fumen por algo grave",1,1,"Un concierto gratuito solo para fans ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Ningún otro","No hay marcas en específico que consuma en estás actividades"
17,20,1,Soltero,"Iztapalapa, CDMX","Licenciatura Incompleta","UNAM, FACULTAD DE FILOSOFÍA Y LETRAS, CARRERA LETRAS HISPANICAS","Solo estudio","Mi padre/madre o tutor",1,1,1,2,5,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Carrera técnica completa","5 o más personas","3-4 personas",4,"5 o más personas",3,0,3,3,0,2,3,3,3,Gimnasio,0,"No tiene consola","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"Si tuviera consola, pondría rock y pop",3,"Aseo en la casa, tarea, leer, entrenar, trabajar, ","Pop, Rock, Reggaeton","Lana del Rey, Mon Laferte y Michael Jackson","Las letras, el ritmo","En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",3,"Spotify, YouTube Music",3,2,2,2,"Amigos, Redes sociales, Playlists o algoritmos de plataformas, Tendencias, Colaboraciones con artistas que escucho, Espacios públicos, Estudios de Danza","Estudios de danza, recomendaciones de amigos",3,"Los instrumentos en parte instrumental y la parte lírica ","La relación con la canción, el estilo que le da el artista",3,3,2,2,2,1,"Instagram, TikTok, YouTube","Historia para tontos, Nicole Agnesi, Poesía en Voz Alta","Hot Spanish, El Temach, Bellakath",1,"Libros, maquillaje, pole Dance, Baile, música","Le entretiene en sus ratos libres",5,1,"Mon Laferte, Oasis, Lana del Rey, La banda Bastón, Julieta Venegas, Maroon V, Aventura ","Me identifico con su música o sus letras, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Por gustos compartidos con amigos cercanos ",5,0,0,0,0,2,2,0,3,0,"Instagram, Tik Tok, Facebook, Youtube, X, Spotify ",4,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","Álbumes nuevos que ya no le gusten, por malas colaboraciones y cambios en el estilo de su música o por un mal show en vivo",1,1,"Dinámicas para ganar boletos de sus conciertos",3,2,3,3,0,1,0,1,0,0,3,2,1,0,"Nada más los anteriores","Para entrenar tenis Nike, para comunicación teléfono de Apple, para leer Kindle, "
18,20,1,Soltero,"Miguel Hidalgo ","Licenciatura Incompleta","Universidad Anáhuac ","Solo estudio",Becas,1,2,1,2,3,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Incompleta","3-4 personas","1-2 personas",4,"1-2 personas",3,0,1,2,0,3,1,2,3,"Cines,plazas,museos",0,"Sin consumo","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"No aplica",1,"Conducir,tarea","Pop, R&b, Kpop","Belanova,LATÍN MAFIA,Daft Punk ","Por la vibra que transmiten ","En casa, En la universidad, En transporte propio, En reuniones o fiestas",2,Spotify,3,2,1,2,"Amigos, Redes sociales, Playlists o algoritmos de plataformas, Colaboraciones con artistas que escucho, Shazam o Soundhound",,2,"La letra ","Que sea coherente con la vibra del álbum ",3,3,3,3,2,1,"Instagram, TikTok, Twitter/X, YouTube","Aranza Goet, Mariimoly,María Bottle","Los de videojuegos ",1,Belanova,"Por si música ",4,1,"Lagos,Belanova","Me identifico con su música o sus letras, Por la interacción que tienen con los fans, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Por su carisma ",4,1,0,0,0,3,1,0,3,0,"Instagram, Tik Tok, Youtube",4,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Sin motivos",0,1,"Regalar merch ",3,2,3,3,2,0,0,0,0,0,2,3,3,0,Ninguno,"Jumex,Coca-Cola,gnp,OCESA,Ticketmaster "
19,20,0,Soltero,Tlalpan,"Licenciatura Incompleta","Facultad de Ciencias","Solo estudio","Mi padre/madre o tutor",1,2,2,4,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.)","Preparatoria Completa","5 o más personas","3-4 personas",4,"3-4 personas",1,0,3,3,3,3,2,2,3,Gimnasio,1,"Son cómodos","Elden ring y rocket league",3,3,3,3,3,3,3,2,2,"X-box, PC",1,"Lo que caiga",2,"De todo","Hiphop, R&b, Corridos tumbados","Jesse Baez, Brent Faiyaz y Abhir Hathi","Son versátiles y tienen un estilo característico","En casa, En la universidad, En el transporte público",3,"Spotify, YouTube Music",3,3,0,1,"Familia, Amigos, Redes sociales","En series, videojuegos o películas que veo",2,"Que musicalmente me atraiga","El diseño y la visión artística",3,3,3,3,0,0,"Instagram, Twitter/X","GothamChess, Juan Ramon Rallo, Jeff Nipard","Togi, Diego Ruzzzzarin, Memo Aponte",1,"De los deportes y cualquier creación en la que se muestre cariño y atención por lo que se hace","Me parecen las mejores expresiones de lo que nos hace humanos",5,1,"Jesse Baez, C Tangana y AquihayAquihay","Me identifico con su música o sus letras, Por la interacción que tienen con los fans, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Me gusta su personalidad y lo que han representado para mi a lo largo de los años",4,3,0,0,2,3,0,0,2,0,Instagram,2,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que no saquen música ",0,0,Ninguna,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"Ninguno ","Adidas, Nike, New Balance, XBox"
20,20,1,Soltero,"Gustavo A. Madero","Preparatoria Completa","Facultad de Ciencias Políticas y Sociales UNAM","Estudio y trabajo medio tiempo","Mi padre/madre o tutor",1,1,0,1,2,"Ninguno de los anteriores","Preparatoria Completa","1-2 personas","1-2 personas",1,"1-2 personas",3,1,2,2,0,2,2,2,3,"Cafeterías, cines, plazas.",0,"No me llaman la atención por el momento ","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"Ninguna ",2,"Viajar de camino a la escuela, cocinar, bañarme, hacer labores del hogar, estudiar y hacer ejercicio.","Pop, Kpop","BTS, Frank Ocean y Aespa.","Porque me gustan sus letras y ritmos.","En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio",3,Spotify,3,2,0,0,"Amigos, Redes sociales, Colaboraciones con artistas que escucho, Espacios públicos","Series o películas ",2,"Letra y Ritmo","Storytelling y producción ",3,3,3,3,2,1,"Twitter/X, YouTube","Rosy McMichael, Luis Torres, Anna Sarelly",.,1,"Harry Potter ","Me gustan los libros y las películas.",5,1,"BTS, TWICE y Aespa","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma","Por la comunidad ",5,3,0,2,0,1,2,2,3,0,"Instagram, Tik Tok, Facebook, Youtube, X",4,"Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Comentarios o filosofías que no se alinean a las mías. Y colaboraciones con artistas que no son de mi agrado.",0,0,"Lives haciendo diversas cosas.",3,3,2,2,2,3,1,3,2,3,3,3,1,3,"Calcetas, lapiceras y papelería.",Spotify
21,20,1,Soltero,"Estado de México ","Licenciatura Incompleta","En Cancún ","Solo estudio","Mi padre/madre o tutor",1,2,2,2,2,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Incompleta","1-2 personas","1-2 personas",4,"1-2 personas",4,0,3,3,0,1,0,2,3,"Restaurantes, gym, mi casa",0,"No me da tiempo ","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"No juego video juegos",2,"Cocino, ejercicio, estudio, trabajo, duermo, manejo","Pop, Country, Baladas","Reik, James bay y picture this","Me gusta su música ","En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio",2,Spotify,3,2,1,2,"Familia, Amigos, Redes sociales, Playlists o algoritmos de plataformas","Como mencionado en la pregunta anterior ",1,"La melodía ","La estética ",3,1,0,3,0,2,Instagram,"Shawn mendes, benson Boone, mark ambor ","No se ",1,"El ejercicio ","Me hace sentir bien y ayuda a distraerme",5,0,"Sin fanatismo",,"Sin motivos",0,0,0,0,0,0,0,0,0,0,,0,"No aplica","Sin motivos",0,0,"Sin dinamica",3,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorras,"Nike y zara "
22,20,0,Soltero,"Ecatepec de Morelos ","Licenciatura Incompleta","Escuela Superior de Medicina-IPN","Solo estudio","Mi padre/madre o tutor",1,2,1,2,5,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Carrera técnica completa","5 o más personas","3-4 personas",4,"1-2 personas",2,0,2,3,2,2,1,1,3,"Museos, cine, deportivos ",1,"Me agrada ","COD, FIFA, GTA",3,3,2,2,3,3,1,2,2,"X-box, Celular",1,"De todo, de acuerdo a mi estado de ánimo ",2,"Tareas del hogar, estudio, tarea, mientras me baño","Pop, Rock, Boleros","Luis Miguel, José José, Enjambre ","Me gustan demasiado ","En casa, En la universidad, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",3,Spotify,3,2,2,3,"Familia, Amigos, Playlists o algoritmos de plataformas, Tendencias","En fiestas ",1,"La letra ","La historia que se da en el video ",3,3,2,2,3,2,"Instagram, TikTok","Esen Alva, Adrián Marcelo, Skabeche ","Kunno, Yerimua, Wendy Guevara ",1,"Fútbol ","Me gusta verlo y practicarlo ",5,1,"Luis Miguel, José José, Enjambre ","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma, Me gusta su imagen o estética","Me agrada su música ",4,2,0,2,0,0,0,0,2,0,"Instagram, Youtube",1,"Me gusta su música","Sin motivos",1,1,"Regale boletos para su concierto ",2,0,0,0,0,0,0,0,0,0,2,0,0,2,Ninguno,.
23,20,0,Soltero,"Gustavo A. Madero ","Preparatoria Completa","Colegio de Ciencias y Humanidades Vallejo ","Solo estudio","Mi padre/madre o tutor",1,2,2,5,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Completa","3-4 personas","3-4 personas",4,"1-2 personas",2,1,3,2,1,3,2,1,3,"Gimnasio y alberca ",1,"Es un pasatiempo q","Call of duty, fortnite, gears",1,3,3,2,2,3,3,2,1,"X-box, PC, Tablet o Ipad",1,"Me gusta escuchar pop y algunas veces rap ",2,"Manejar, hacer ejercicio, limpiar, jugar videojuegos ","Pop, Reggaeton, Banda (Regional Mexicano)","Sebastián Yatra, Jhayco, Alfredo Olivas ","Me gustan las instrumentales que utilizan en sus canciones además de la letra ","En casa, En transporte propio, Mientras hago ejercicio",3,"Spotify, YouTube Music",3,2,1,2,"Amigos, Redes sociales, Playlists o algoritmos de plataformas, Estaciones de radio","Recomendaciones de amigos o de influencers que sigo ",2,"La melodía ","Una historia a fin de lo que se narra en la canción, la calidad de la producción ",3,3,2,2,1,2,"Instagram, TikTok","Orlena Odette, PD3, Cris Martell ","Ded, Ibai, Auron ",1,"Del béisbol ","Crecí viéndolo con mi abuelo, generando un fanatismo por el deporte y el equipo ",5,1,"Sebastián Yatra, Junior H, Alfredito ","Me gusta su estilo de vida o su historia personal, Me gusta su imagen o estética","Por su personalidad o forma de ser, historia personal o participaciones en entrevistas ",3,1,2,2,3,1,2,2,3,3,"Instagram, Twitch",3,"Me interesa su vida personal, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Irrelevancia de contenido o porque ya no me interesa seguir estando al tanto de su vida, dejo de seguirlo tanto ",0,1,"Preguntas y respuestas, lives",2,1,1,1,3,3,1,1,1,2,1,2,0,2,"Gorras, productos de uso personal, souvenirs diversos ","Agua embotellada o refrescos, papas sabritas, Redbull energetizantes "
24,20,0,Soltero,"Iztacalco ","Licenciatura Incompleta","Facultad de Ciencias políticas y sociales ","Trabajo tiempo completo",,1,1,0,3,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Carrera técnica completa","3-4 personas","3-4 personas",4,"1-2 personas",2,1,2,3,2,2,3,2,3,"Espacios culturales al aire libre",1,"Algunos me atrapan con la jugabilidad.","Warzone, halo, tetris",1,3,3,2,1,3,0,2,1,"X-box, Celular, PC",1,"Bdm, techno.",2,"Rutinarias (transporte, limpieza, estudio, etc)","Hiphop, R&b, Electrónica","Gera MXN, Twenty one pilots, skrillex","Sus ritmos y propuestas me atrapan.","En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas",3,"Spotify, YouTube Music",2,3,0,3,"Redes sociales, Playlists o algoritmos de plataformas, Estaciones de radio, Colaboraciones con artistas que escucho, Shazam o Soundhound","Por reuniones al poner diferentes gustos.",1,"Un buen inicio envolvente, que mantenga la calidad del género.","Producción visual y propuesta creativa.",3,1,2,3,1,1,"TikTok, YouTube","Tri line, Mr salas, luisito comunica.","Hotspanish, juan de dios patoja, Adrian marcelo",1,"La fotografía","Forma de expresión pasiva y de autoconocimiento.",3,1,"Twenty one pilots, canserbero, avicii","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma","Sus creaciones me llevan a un buen estado de ánimo, reflexivo y las escucho con pasión.",5,1,0,1,0,0,2,0,3,0,"Instagram, Facebook, Youtube, X",3,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Por las dinámicas o concursos que realizan","Interacciones innecesarias o sin sentido. O si me dejan de gustar.",0,1,"Live, detrás de cámaras, meet and greet, boletos.",2,2,1,1,0,2,0,1,0,0,3,3,2,2,"Discos físicos y boletos.","Sonny, Ryzen, Dell, Samsung, Spotify, Raw, Boing hahahaha"
25,20,1,Soltero,"Gustavo A Madero","Licenciatura Incompleta","UAM AZCAPOTZALCO ","Solo estudio","Mi padre/madre o tutor",1,1,1,0,2,"Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.)","Licenciatura Completa","3-4 personas","1-2 personas",2,"1-2 personas",3,0,2,2,2,3,2,2,3,"Parques y/o plazas comerciales ",0,"No me llaman la atención ","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,"No juego videojuegos",2,"Cuando voy de camino a la escuela y de regreso, e incluso al hacer tarea ","Pop, Rock, Electrónica","Alok, Calvin Harris y Morat ","Me gusta el tipo de música que tienen ","En casa, En la universidad, En el transporte público",3,Spotify,3,2,2,3,"Amigos, Redes sociales, Tendencias","Unicamente las ya mencionadas ",1,"El ritmo que tiene y la letra","La escenografía ",3,3,0,2,3,1,"Instagram, TikTok","No tengo prefrencias ","No tengo preferencias",1,"De la luna y las estrellas ","Porque es algo muy lindo que puedes apreciar por las noches",5,1,"Avicii, One Dirección, Morat ","Me identifico con su música o sus letras","Han llegado a marcar una parte de mi vida ",5,1,1,1,1,1,1,1,3,1,"Instagram, Tik Tok, Youtube",3,"Me gusta su música, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Me aburre su contenido",0,0,Conciertos,1,1,1,1,1,2,1,1,1,1,2,1,1,2,"Únicamente lo ya mencionado ","Cualquier tipo de bebida y comida que se me antoje en el momento "
26,20,1,Soltero,"Venustiano Carranza","Preparatoria Completa","Tecnológico de Monterrey ","Solo estudio","Mi padre/madre o tutor",1,3,3,2,5,"Servicio de televisión por cable o satelital, Suscripción a plataformas de streaming de video (Netflix, Disney+, etc.), Suscripción a plataformas de streaming de música (Spotify, Apple Music, etc.)","Licenciatura Completa","5 o más personas","3-4 personas",5,"5 o más personas",4,0,0,0,0,1,3,2,3,Restaurantes,0,"No me gustan","Sin consumo",0,0,0,0,0,0,0,0,0,"Sin consumo",0,ninguna,2,Manejar,"Pop, Kpop, Baladas","BTS, CD9 y Matisse","Me gustan sus letras, conecto mucho con los artistas y amo su historia. ","En casa, En la universidad, En el transporte público",3,"Apple Music, YouTube Music",1,0,0,0,"Amigos, Redes sociales, Tendencias","no hay",1,"la letra","su historia",3,3,3,2,3,2,"Instagram, TikTok","Nicole Agnesi. Marcela Del Toro  Skabeche","Panda y yolo  Aventuras, temach y streamers",0,"Sin fanatismo","No aplica",0,1,"de cd9 y bts","Me identifico con su música o sus letras, Me gusta su estilo de vida o su historia personal, Han impactado mi vida de alguna forma","Me gusta sus letras y lo que contribuye a sus fans. ",3,2,0,2,0,0,3,0,0,0,"Instagram, Tik Tok, Facebook, X",4,"Me gusta su música, Me interesa su vida personal, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","si los funan por machistas ",1,1,"meet and greet después de conciertos",3,2,1,1,0,0,0,2,2,1,2,1,0,0,"solo eso","comida normalmente"
